week,numbookscheckout,firstdayofweek,year
1,103925,1/1/08,2008
2,81826,1/7/08,2008
3,78393,1/14/08,2008
4,69370,1/21/08,2008
5,81854,1/28/08,2008
6,78447,2/4/08,2008
7,74001,2/11/08,2008
8,69094,2/18/08,2008
9,81089,2/25/08,2008
10,64208,3/3/08,2008
11,46291,3/10/08,2008
12,63455,3/17/08,2008
13,82372,3/24/08,2008
14,81498,3/31/08,2008
15,76440,4/7/08,2008
16,80218,4/14/08,2008
17,75676,4/21/08,2008
18,76175,4/28/08,2008
19,75552,5/5/08,2008
20,71395,5/12/08,2008
21,76520,5/19/08,2008
22,68712,5/26/08,2008
23,84856,6/2/08,2008
24,80109,6/9/08,2008
25,86939,6/16/08,2008
26,82330,6/23/08,2008
27,79322,6/30/08,2008
28,86058,7/7/08,2008
29,90387,7/14/08,2008
30,85550,7/21/08,2008
31,85323,7/28/08,2008
32,83513,8/4/08,2008
33,78739,8/11/08,2008
34,83860,8/18/08,2008
35,85019,8/25/08,2008
36,72106,9/1/08,2008
37,84926,9/8/08,2008
38,86562,9/15/08,2008
39,83053,9/22/08,2008
40,82855,9/29/08,2008
41,82711,10/6/08,2008
42,82895,10/13/08,2008
43,74292,10/20/08,2008
44,75396,10/27/08,2008
45,88620,11/3/08,2008
46,79109,11/10/08,2008
47,90704,11/17/08,2008
48,74517,11/24/08,2008
49,83499,12/1/08,2008
50,77930,12/8/08,2008
51,60920,12/15/08,2008
52,42432,12/22/08,2008
