week,numbookscheckout,firstdayofweek,year
1,67463,1/1/07,2007
2,66964,1/8/07,2007
3,64230,1/15/07,2007
4,73819,1/22/07,2007
5,69000,1/29/07,2007
6,70292,2/5/07,2007
7,67047,2/12/07,2007
8,65996,2/19/07,2007
9,56736,2/26/07,2007
10,72742,3/5/07,2007
11,73320,3/12/07,2007
12,73877,3/19/07,2007
13,68413,3/26/07,2007
14,60587,4/2/07,2007
15,76644,4/9/07,2007
16,69773,4/16/07,2007
17,70043,4/23/07,2007
18,69047,4/30/07,2007
19,65609,5/7/07,2007
20,68968,5/14/07,2007
21,69585,5/21/07,2007
22,56786,5/28/07,2007
23,73964,6/4/07,2007
24,71184,6/11/07,2007
25,72162,6/18/07,2007
26,79097,6/25/07,2007
27,65460,7/2/07,2007
28,75228,7/9/07,2007
29,79982,7/16/07,2007
30,71221,7/23/07,2007
31,70103,7/30/07,2007
32,73397,8/6/07,2007
33,70506,8/13/07,2007
34,74796,8/20/07,2007
35,70672,8/27/07,2007
36,63472,9/3/07,2007
37,76153,9/10/07,2007
38,73261,9/17/07,2007
39,70984,9/24/07,2007
40,73679,10/1/07,2007
41,72842,10/8/07,2007
42,74393,10/15/07,2007
43,69676,10/22/07,2007
44,72308,10/29/07,2007
45,68290,11/5/07,2007
46,79041,11/12/07,2007
47,63998,11/19/07,2007
48,70882,11/26/07,2007
49,71196,12/3/07,2007
50,66427,12/10/07,2007
51,65712,12/17/07,2007
52,47532,12/24/07,2007
