week,numbookscheckout,firstdayofweek,year
1,37902,1/1/09,2009
2,94794,1/5/09,2009
3,91743,1/12/09,2009
4,79274,1/19/09,2009
5,88924,1/26/09,2009
6,88404,2/2/09,2009
7,87150,2/9/09,2009
8,83371,2/16/09,2009
9,91981,2/23/09,2009
10,90731,3/2/09,2009
11,90119,3/9/09,2009
12,91021,3/16/09,2009
13,89049,3/23/09,2009
14,88222,3/30/09,2009
15,80118,4/6/09,2009
16,88103,4/13/09,2009
17,84745,4/20/09,2009
18,82004,4/27/09,2009
19,84149,5/4/09,2009
20,84540,5/11/09,2009
21,83691,5/18/09,2009
22,74180,5/25/09,2009
23,85061,6/1/09,2009
24,85415,6/8/09,2009
25,91256,6/15/09,2009
26,95994,6/22/09,2009
27,81249,6/29/09,2009
28,97883,7/6/09,2009
29,90332,7/13/09,2009
30,92743,7/20/09,2009
31,85340,7/27/09,2009
32,92707,8/3/09,2009
33,93088,8/10/09,2009
34,89158,8/17/09,2009
35,104716,8/24/09,2009
37,74484,9/7/09,2009
38,88225,9/14/09,2009
39,84647,9/21/09,2009
40,86082,9/28/09,2009
41,85746,10/5/09,2009
42,84900,10/12/09,2009
43,83985,10/19/09,2009
44,82574,10/26/09,2009
45,87352,11/2/09,2009
46,78730,11/9/09,2009
47,89360,11/16/09,2009
48,74319,11/23/09,2009
49,82343,11/30/09,2009
50,75406,12/7/09,2009
51,73462,12/14/09,2009
52,53069,12/21/09,2009
53,52091,12/28/09,2009
