week,numbookscheckout,firstdayofweek,year
1,37477,1/1/15,2015
2,84464,1/5/15,2015
3,79774,1/12/15,2015
4,71406,1/19/15,2015
5,77094,1/26/15,2015
6,80828,2/2/15,2015
7,77385,2/9/15,2015
8,70424,2/16/15,2015
9,83130,2/23/15,2015
10,77783,3/2/15,2015
11,79958,3/9/15,2015
12,80516,3/16/15,2015
13,81370,3/23/15,2015
14,73662,3/30/15,2015
15,80492,4/6/15,2015
16,75816,4/13/15,2015
17,78083,4/20/15,2015
18,72815,4/27/15,2015
19,71010,5/4/15,2015
20,77735,5/11/15,2015
21,76921,5/18/15,2015
22,66785,5/25/15,2015
23,77956,6/1/15,2015
24,76764,6/8/15,2015
25,84028,6/15/15,2015
26,28875,6/22/15,2015
27,67806,6/29/15,2015
28,88866,7/6/15,2015
29,81959,7/13/15,2015
30,86476,7/20/15,2015
31,79069,7/27/15,2015
32,80866,8/3/15,2015
33,79324,8/10/15,2015
34,80266,8/17/15,2015
35,81425,8/24/15,2015
36,85361,8/31/15,2015
37,72899,9/7/15,2015
38,85332,9/14/15,2015
39,78039,9/21/15,2015
40,76229,9/28/15,2015
41,78204,10/5/15,2015
42,76269,10/12/15,2015
43,77251,10/19/15,2015
44,75162,10/26/15,2015
45,82166,11/2/15,2015
46,71536,11/9/15,2015
47,80942,11/16/15,2015
48,68753,11/23/15,2015
49,75188,11/30/15,2015
50,69752,12/7/15,2015
51,66064,12/14/15,2015
52,48438,12/21/15,2015
53,43249,12/28/15,2015
