week,numbookscheckout,firstdayofweek,year
1,78905,1/2/17,2017
2,76178,1/9/17,2017
3,64589,1/16/17,2017
4,75485,1/23/17,2017
5,75550,1/30/17,2017
6,68776,2/6/17,2017
7,74052,2/13/17,2017
8,72232,2/20/17,2017
9,76511,2/27/17,2017
10,78261,3/6/17,2017
11,74497,3/13/17,2017
12,74066,3/20/17,2017
13,66431,3/27/17,2017
14,76094,4/3/17,2017
15,67151,4/10/17,2017
16,75206,4/17/17,2017
17,68062,4/24/17,2017
18,71839,5/1/17,2017
19,75710,5/8/17,2017
20,69306,5/15/17,2017
21,66578,5/22/17,2017
22,65491,5/29/17,2017
23,84200,6/5/17,2017
24,93365,6/12/17,2017
25,71811,6/19/17,2017
26,80661,6/26/17,2017
27,71720,7/3/17,2017
28,86152,7/10/17,2017
29,80579,7/17/17,2017
30,77004,7/24/17,2017
31,77181,7/31/17,2017
32,79157,8/7/17,2017
33,76712,8/14/17,2017
34,73691,8/21/17,2017
35,75089,8/28/17,2017
36,72757,9/4/17,2017
37,76757,9/11/17,2017
38,75615,9/18/17,2017
39,75574,9/25/17,2017
40,74770,10/2/17,2017
41,76854,10/9/17,2017
42,75838,10/16/17,2017
43,72777,10/23/17,2017
44,73981,10/30/17,2017
45,67697,11/6/17,2017
46,71140,11/13/17,2017
