week,numbookscheckout,firstdayofweek,year
1,89768,1/4/10,2010
2,89036,1/11/10,2010
3,75027,1/18/10,2010
4,94021,1/25/10,2010
5,83307,2/1/10,2010
6,83036,2/8/10,2010
7,74627,2/15/10,2010
8,86877,2/22/10,2010
9,83363,3/1/10,2010
10,85593,3/8/10,2010
11,81856,3/15/10,2010
12,82837,3/22/10,2010
13,82702,3/29/10,2010
14,84778,4/5/10,2010
15,81485,4/12/10,2010
16,84448,4/19/10,2010
17,79281,4/26/10,2010
18,76696,5/3/10,2010
19,79134,5/10/10,2010
20,86062,5/17/10,2010
21,84472,5/24/10,2010
22,72588,5/31/10,2010
23,81221,6/7/10,2010
24,86340,6/14/10,2010
25,89208,6/21/10,2010
26,87583,6/28/10,2010
27,75685,7/5/10,2010
28,91945,7/12/10,2010
29,87687,7/19/10,2010
30,83454,7/26/10,2010
31,84258,8/2/10,2010
32,84538,8/9/10,2010
33,85608,8/16/10,2010
34,104091,8/23/10,2010
36,72342,9/6/10,2010
37,90678,9/13/10,2010
38,80347,9/20/10,2010
39,78039,9/27/10,2010
40,84498,10/4/10,2010
41,80444,10/11/10,2010
42,81989,10/18/10,2010
43,78707,10/25/10,2010
44,83869,11/1/10,2010
45,76599,11/8/10,2010
46,84082,11/15/10,2010
47,58871,11/22/10,2010
48,82656,11/29/10,2010
49,76888,12/6/10,2010
50,73318,12/13/10,2010
51,57732,12/20/10,2010
52,59644,12/27/10,2010
,,,
