week,numbookscheckout,firstdayofweek,year
1,85144,1/3/11,2011
2,84649,1/10/11,2011
3,77125,1/17/11,2011
4,87498,1/24/11,2011
5,85385,1/31/11,2011
6,84305,2/7/11,2011
7,83412,2/14/11,2011
8,78618,2/21/11,2011
9,86116,2/28/11,2011
10,84954,3/7/11,2011
11,61190,3/14/11,2011
12,67184,3/21/11,2011
13,80209,3/28/11,2011
14,85365,4/4/11,2011
15,83547,4/11/11,2011
16,76278,4/18/11,2011
17,81168,4/25/11,2011
18,76603,5/2/11,2011
19,78305,5/9/11,2011
20,79006,5/16/11,2011
21,82371,5/23/11,2011
22,70352,5/30/11,2011
23,83415,6/6/11,2011
24,87047,6/13/11,2011
25,91016,6/20/11,2011
26,92660,6/27/11,2011
27,78821,7/4/11,2011
28,93888,7/11/11,2011
29,87656,7/18/11,2011
30,88009,7/25/11,2011
31,84332,8/1/11,2011
32,90397,8/8/11,2011
33,85145,8/15/11,2011
34,98415,8/22/11,2011
35,65427,9/5/11,2011
36,82900,9/12/11,2011
37,77935,9/19/11,2011
38,76540,9/26/11,2011
39,76713,10/3/11,2011
40,78558,10/10/11,2011
41,76108,10/17/11,2011
42,74369,10/24/11,2011
43,74290,10/31/11,2011
44,68359,11/7/11,2011
45,75491,11/14/11,2011
46,65090,11/21/11,2011
47,75524,11/28/11,2011
48,70758,12/5/11,2011
49,68415,12/12/11,2011
50,56748,12/19/11,2011
51,69479,12/26/11,2011
