week,numbookscheckout,firstdayofweek,year
1,84631,1/4/16,2016
2,79742,1/11/16,2016
3,69739,1/18/16,2016
4,81847,1/25/16,2016
5,69421,2/1/16,2016
6,75199,2/8/16,2016
7,72976,2/15/16,2016
8,80343,2/22/16,2016
9,77609,2/29/16,2016
10,76736,3/7/16,2016
11,75973,3/14/16,2016
12,72750,3/21/16,2016
13,69514,3/28/16,2016
14,72868,4/4/16,2016
15,73387,4/11/16,2016
16,73182,4/18/16,2016
17,71976,4/25/16,2016
18,66996,5/2/16,2016
19,73064,5/9/16,2016
20,74651,5/16/16,2016
21,75068,5/23/16,2016
22,56214,5/30/16,2016
23,74881,6/6/16,2016
24,73213,6/13/16,2016
25,76420,6/20/16,2016
26,85095,6/27/16,2016
27,72213,7/4/16,2016
28,80504,7/11/16,2016
29,72118,7/18/16,2016
30,76535,7/25/16,2016
31,75539,8/1/16,2016
32,73706,8/8/16,2016
33,75220,8/15/16,2016
34,62769,8/22/16,2016
35,79851,8/29/16,2016
36,69325,9/5/16,2016
37,77240,9/12/16,2016
38,72296,9/19/16,2016
39,73188,9/26/16,2016
40,45828,10/3/16,2016
41,71624,10/10/16,2016
42,74866,10/17/16,2016
43,73845,10/24/16,2016
44,73700,10/31/16,2016
45,67388,11/7/16,2016
46,76659,11/14/16,2016
47,67809,11/21/16,2016
48,74320,11/28/16,2016
49,66723,12/5/16,2016
50,65369,12/12/16,2016
51,51727,12/19/16,2016
52,61768,12/26/16,2016
,,,
