week,numbookscheckout,firstdayofweek,year
1,86462,1/1/14,2014
2,88918,1/6/14,2014
3,87885,1/13/14,2014
4,76875,1/20/14,2014
5,83226,1/27/14,2014
6,78842,2/3/14,2014
7,82364,2/10/14,2014
8,77989,2/17/14,2014
9,84346,2/24/14,2014
10,86501,3/3/14,2014
11,81934,3/10/14,2014
12,81012,3/17/14,2014
13,86150,3/24/14,2014
14,81648,3/31/14,2014
15,76858,4/7/14,2014
16,75142,4/14/14,2014
17,82488,4/21/14,2014
18,76696,4/28/14,2014
19,78328,5/5/14,2014
20,73968,5/12/14,2014
21,80362,5/19/14,2014
22,70474,5/26/14,2014
23,79499,6/2/14,2014
24,81525,6/9/14,2014
25,81658,6/16/14,2014
26,91153,6/23/14,2014
27,77045,6/30/14,2014
28,84012,7/7/14,2014
29,85774,7/14/14,2014
30,87137,7/21/14,2014
31,81130,7/28/14,2014
32,81836,8/4/14,2014
33,84292,8/11/14,2014
34,81347,8/18/14,2014
35,80777,8/25/14,2014
36,72758,9/1/14,2014
37,73018,9/8/14,2014
38,79066,9/15/14,2014
39,82029,9/22/14,2014
40,77949,9/29/14,2014
41,79951,10/6/14,2014
42,80744,10/13/14,2014
43,79342,10/20/14,2014
44,78797,10/27/14,2014
45,81978,11/3/14,2014
46,75033,11/10/14,2014
47,81956,11/17/14,2014
48,71980,11/24/14,2014
49,77240,12/1/14,2014
50,70112,12/8/14,2014
51,70488,12/15/14,2014
52,50483,12/22/14,2014
