week,numbookscheckout,firstdayofweek,year
1,93240,1/1/13,2013
2,91870,1/7/13,2013
3,89657,1/14/13,2013
4,79327,1/21/13,2013
5,87292,1/28/13,2013
6,87842,2/4/13,2013
7,86201,2/11/13,2013
8,78861,2/18/13,2013
9,90040,2/25/13,2013
10,87137,3/4/13,2013
11,87514,3/11/13,2013
12,85852,3/18/13,2013
13,73765,3/25/13,2013
14,77216,4/1/13,2013
15,87057,4/8/13,2013
16,84796,4/15/13,2013
17,79700,4/22/13,2013
18,75960,4/29/13,2013
19,76628,5/6/13,2013
20,83736,5/13/13,2013
21,85267,5/20/13,2013
22,73470,5/27/13,2013
23,84867,6/3/13,2013
24,85400,6/10/13,2013
25,101844,6/17/13,2013
26,93854,6/24/13,2013
27,80585,7/1/13,2013
28,92844,7/8/13,2013
29,93198,7/15/13,2013
30,88956,7/22/13,2013
31,90307,7/29/13,2013
32,85770,8/5/13,2013
33,88569,8/12/13,2013
34,86474,8/19/13,2013
35,87593,8/26/13,2013
36,80587,9/2/13,2013
37,87134,9/9/13,2013
38,87318,9/16/13,2013
39,85860,9/23/13,2013
40,76086,9/30/13,2013
41,88754,10/7/13,2013
42,84980,10/14/13,2013
43,82141,10/21/13,2013
44,82889,10/28/13,2013
45,91227,11/4/13,2013
46,77801,11/11/13,2013
47,87225,11/18/13,2013
48,75623,11/25/13,2013
49,80166,12/2/13,2013
50,76521,12/9/13,2013
51,70446,12/16/13,2013
52,52159,12/23/13,2013
