"month","numbookscheckout","firstdayofmonth","year"
"1","379984","1/01/2013","2013"
"2","341436","2/01/2013","2013"
"3","371844","3/01/2013","2013"
"4","355593","4/01/2013","2013"
"5","345095","5/01/2013","2013"
"6","389107","6/01/2013","2013"
"7","399869","7/01/2013","2013"
"8","386341","8/01/2013","2013"
"9","363621","9/01/2013","2013"
"10","364437","10/01/2013","2013"
"11","357640","11/01/2013","2013"
"12","314639","12/01/2013","2013"
