"month","numbookscheckout","firstdayofmonth","year"
"1","318697","1/01/2017","2017"
"2","289182","2/01/2017","2017"
"3","326308","3/01/2017","2017"
"4","307859","4/01/2017","2017"
"5","310360","5/01/2017","2017"
"6","349089","6/01/2017","2017"
"7","349208","7/01/2017","2017"
"8","340208","8/01/2017","2017"
"9","318869","9/01/2017","2017"
"10","328970","10/01/2017","2017"
"11","193302","11/01/2017","2017"
