"month","numbookscheckout","firstdayofmonth","year"
"1","356691","1/01/2011","2011"
"2","331676","2/01/2011","2011"
"3","332980","3/01/2011","2011"
"4","353201","4/01/2011","2011"
"5","338183","5/01/2011","2011"
"6","380082","6/01/2011","2011"
"7","375859","7/01/2011","2011"
"8","358289","8/01/2011","2011"
"9","284448","9/01/2011","2011"
"10","333975","10/01/2011","2011"
"11","311720","11/01/2011","2011"
"12","295185","12/01/2011","2011"
