"month","numbookscheckout","firstdayofmonth","year"
"1","341559","1/01/2008","2008"
"2","313747","2/01/2008","2008"
"3","289487","3/01/2008","2008"
"4","338702","4/01/2008","2008"
"5","325179","5/01/2008","2008"
"6","353583","6/01/2008","2008"
"7","385262","7/01/2008","2008"
"8","359820","8/01/2008","2008"
"9","350203","9/01/2008","2008"
"10","351231","10/01/2008","2008"
"11","356312","11/01/2008","2008"
"12","305958","12/01/2008","2008"
