"month","numbookscheckout","firstdayofmonth","year"
"1","338566","1/01/2016","2016"
"2","310371","2/01/2016","2016"
"3","333568","3/01/2016","2016"
"4","310911","4/01/2016","2016"
"5","309325","5/01/2016","2016"
"6","324005","6/01/2016","2016"
"7","330556","7/01/2016","2016"
"8","325642","8/01/2016","2016"
"9","311872","9/01/2016","2016"
"10","296578","10/01/2016","2016"
"11","310780","11/01/2016","2016"
"12","285929","12/01/2016","2016"
