"month","numbookscheckout","firstdayofmonth","year"
"1","367174","1/01/2014","2014"
"2","319643","2/01/2014","2014"
"3","375521","3/01/2014","2014"
"4","336589","4/01/2014","2014"
"5","336672","5/01/2014","2014"
"6","357650","6/01/2014","2014"
"7","370883","7/01/2014","2014"
"8","357390","8/01/2014","2014"
"9","332770","9/01/2014","2014"
"10","345405","10/01/2014","2014"
"11","336426","11/01/2014","2014"
"12","302454","12/01/2014","2014"
