"month","numbookscheckout","firstdayofmonth","year"
"1","290733","1/01/2012","2012"
"2","298917","2/01/2012","2012"
"3","333086","3/01/2012","2012"
"4","320010","4/01/2012","2012"
"5","328018","5/01/2012","2012"
"6","361956","6/01/2012","2012"
"7","386349","7/01/2012","2012"
"8","314370","8/01/2012","2012"
"9","298742","9/01/2012","2012"
"10","364624","10/01/2012","2012"
"11","345639","11/01/2012","2012"
"12","314308","12/01/2012","2012"
