"month","numbookscheckout","firstdayofmonth","year"
"1","344049","1/01/2015","2015"
"2","308153","2/01/2015","2015"
"3","353126","3/01/2015","2015"
"4","331974","4/01/2015","2015"
"5","317626","5/01/2015","2015"
"6","292338","6/01/2015","2015"
"7","359878","7/01/2015","2015"
"8","356467","8/01/2015","2015"
"9","341812","9/01/2015","2015"
"10","338724","10/01/2015","2015"
"11","325585","11/01/2015","2015"
"12","289710","12/01/2015","2015"
