"month","numbookscheckout","firstdayofmonth","year"
"1","385566","1/01/2009","2009"
"2","349585","2/01/2009","2009"
"3","395793","3/01/2009","2009"
"4","367085","4/01/2009","2009"
"5","356186","5/01/2009","2009"
"6","387045","6/01/2009","2009"
"7","400407","7/01/2009","2009"
"8","397490","8/01/2009","2009"
"9","288711","9/01/2009","2009"
"10","374218","10/01/2009","2009"
"11","350719","11/01/2009","2009"
"12","323127","12/01/2009","2009"
