"month","numbookscheckout","firstdayofmonth","year"
"1","370439","1/01/2010","2010"
"2","327847","2/01/2010","2010"
"3","376936","3/01/2010","2010"
"4","350077","4/01/2010","2010"
"5","345694","5/01/2010","2010"
"6","376721","6/01/2010","2010"
"7","373516","7/01/2010","2010"
"8","363969","8/01/2010","2010"
"9","294002","9/01/2010","2010"
"10","353042","10/01/2010","2010"
"11","332683","11/01/2010","2010"
"12","320976","12/01/2010","2010"
